Politician,Date from,Date to,Location,Details,No. of nights,Rate,Spouse,Amount,url
WONG Penny,8-Dec-10,9-Dec-10,Perth,Minister/Office Holder ,2,430.00,,860.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WONG_Penny.pdf20WONG Penny
BRADBURY David,9-Dec-10,9-Dec-10,Canberra,Parliamentary Secretary ,1,233.00,,233.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BRADBURY_David.pdf15BRADBURY David
HARTSUYKER Luke,9-Dec-10,9-Dec-10,Sydney,Parliamentary Political ,1,360.00,,360.00,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HARTSUYKER_Luke.pdf17HARTSUYKER Luke
MCCLELLAND Robert,9-Dec-10,9-Dec-10,Canberra,Minister/Office Holder ,1,233.00,,233.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCCLELLAND_Robert.pdf23MCCLELLAND Robert
O'CONNOR Brendan,9-Dec-10,9-Dec-10,Canberra,Minister/Office Holder ,1,233.00,,233.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/O'CONNOR_Brendan.pdf15O'CONNOR Brendan
SNOWDON Warren,9-Dec-10,9-Dec-10,Darwin,Minister/Office Holder ,1,420.00,,420.00,43http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SNOWDON_Warren.pdf22SNOWDON Warren
WORTLEY Dana,9-Dec-10,9-Dec-10,Melbourne,Chair of Parliamentary ,1,332.00,,332.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WORTLEY_Dana.pdf18WORTLEY Dana
BUTLER Mark,12-Dec-10,12-Dec-10,Launceston,Minister/Office Holder ,1,345.00,,345.00,49http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUTLER_Mark.pdf21BUTLER Mark
CREAN Simon,12-Dec-10,13-Dec-10,Darwin,Minister/Office Holder ,2,420.00,20.00,860.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CREAN_Simon.pdf24CREAN Simon
SCOTT Bruce,12-Dec-10,13-Dec-10,Adelaide,Electorate Business,2,320.00,,640.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCOTT_Bruce.pdf23SCOTT Bruce
SNOWDON Warren,12-Dec-10,14-Dec-10,Darwin,Minister/Office Holder ,3,420.00,,"1,260.00",51http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SNOWDON_Warren.pdf22SNOWDON Warren
