Politician,Date from,Date to,Location,Details,No. of nights,Rate,Spouse,Amount,url
FERGUSON Martin,20-Dec-10,21-Dec-10,Canberra,Minister/Office Holder ,2,233.00,,466.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FERGUSON_Martin.pdf23FERGUSON Martin
MILNE Christine,20-Dec-10,20-Dec-10,Canberra,Government Advisory ,1,233.00,,233.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MILNE_Christine.pdf19MILNE Christine
O'CONNOR Brendan,20-Dec-10,20-Dec-10,Sydney,Minister/Office Holder ,1,420.00,,420.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/O'CONNOR_Brendan.pdf15O'CONNOR Brendan
MCCLELLAND Robert,21-Dec-10,21-Dec-10,Darwin,Minister/Office Holder ,1,420.00,,420.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCCLELLAND_Robert.pdf23MCCLELLAND Robert
RUDD Kevin,21-Dec-10,22-Dec-10,Sydney,Minister/Office Holder ,2,420.00,,840.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/RUDD_Kevin.pdf22RUDD Kevin
SNOWDON Warren,21-Dec-10,22-Dec-10,Canberra,Minister/Office Holder ,2,233.00,,466.00,67http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SNOWDON_Warren.pdf22SNOWDON Warren
COLLINS Jacinta,22-Dec-10,22-Dec-10,Adelaide,Parliamentary Secretary ,1,364.00,,364.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/COLLINS_Jacinta.pdf18COLLINS Jacinta
MASON Brett,22-Dec-10,22-Dec-10,Canberra,Shadow Minister - ,1,233.00,,233.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MASON_Brett.pdf18MASON Brett
BURKE Tony,23-Dec-10,23-Dec-10,Canberra,Minister/Office Holder ,1,233.00,,233.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BURKE_Tony.pdf18BURKE Tony
LEY Sussan,26-Dec-10,26-Dec-10,Ivanhoe,Electorate Business,1,227.00,,227.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LEY_Sussan.pdf24LEY Sussan
FARRELL Don,1-Jan-11,1-Jan-11,Canberra,Electorate Business,1,233.00,,233.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FARRELL_Don.pdf5FARRELL Don
FARRELL Don,2-Jan-11,2-Jan-11,Canberra,Electorate Business,1,233.00,,233.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FARRELL_Don.pdf5FARRELL Don
O'CONNOR Brendan,3-Jan-11,3-Jan-11,Sydney,Minister/Office Holder -  Official Business,1,420.00,,420.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/O'CONNOR_Brendan.pdf5O'CONNOR Brendan
SLIPPER Peter,3-Jan-11,3-Jan-11,Hobart,Office Holder - Official  Business,1,350.00,10.00,360.00,23http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SLIPPER_Peter.pdf5SLIPPER Peter
BURKE Tony,4-Jan-11,4-Jan-11,Hobart,Minister/Office Holder -  Official Business,1,350.00,,350.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BURKE_Tony.pdf5BURKE Tony
CLARE Jason,4-Jan-11,4-Jan-11,Brisbane,Minister/Office Holder -  Official Business,1,391.00,,391.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CLARE_Jason.pdf5CLARE Jason
WILLIAMS John,4-Jan-11,5-Jan-11,Sydney,Electorate Business,2,360.00,,720.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WILLIAMS_John.pdf5WILLIAMS John
BISHOP Bronwyn,5-Jan-11,5-Jan-11,Melbourne,Shadow Minister -  Official Business,1,332.00,,332.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BISHOP_Bronwyn.pdf5BISHOP Bronwyn
BURKE Tony,5-Jan-11,5-Jan-11,Styx,Minister/Office Holder -  Official Business,1,115.00,,115.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BURKE_Tony.pdf5BURKE Tony
GILLARD Julia,5-Jan-11,6-Jan-11,Perth,Prime Minister,2,526.00,,"1,052.00",20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/GILLARD_Julia.pdf5GILLARD Julia
ALBANESE Anthony,6-Jan-11,6-Jan-11,Perth,Minister/Office Holder -  Official Business,1,430.00,,430.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ALBANESE_Anthony.pdf5ALBANESE Anthony
GRAY Gary,6-Jan-11,6-Jan-11,Darwin,Minister/Office Holder -  Official Business,1,420.00,,420.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/GRAY_Gary.pdf5GRAY Gary
O'CONNOR Brendan,6-Jan-11,6-Jan-11,Adelaide,Minister/Office Holder -  Official Business,1,364.00,,364.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/O'CONNOR_Brendan.pdf5O'CONNOR Brendan
SCOTT Bruce,6-Jan-11,6-Jan-11,Emerald,Electorate Business,1,227.00,,227.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCOTT_Bruce.pdf5SCOTT Bruce
SNOWDON Warren,6-Jan-11,6-Jan-11,Darwin,Minister/Office Holder -  Official Business,1,420.00,,420.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SNOWDON_Warren.pdf5SNOWDON Warren
TRUSS Warren,6-Jan-11,6-Jan-11,Biloela,Party Leader - Official  Business,1,345.00,,345.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/TRUSS_Warren.pdf5TRUSS Warren
BURKE Tony,7-Jan-11,7-Jan-11,Canberra,Minister/Office Holder -  Official Business,1,233.00,,233.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BURKE_Tony.pdf5BURKE Tony
GILLARD Julia,7-Jan-11,7-Jan-11,Brisbane,Prime Minister,1,526.00,,526.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/GILLARD_Julia.pdf5GILLARD Julia
SNOWDON Warren,7-Jan-11,8-Jan-11,Melbourne,Minister/Office Holder -  Official Business,2,420.00,,840.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SNOWDON_Warren.pdf5SNOWDON Warren
BUTLER Mark,9-Jan-11,10-Jan-11,Canberra,Minister/Office Holder -  Official Business,2,233.00,,466.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUTLER_Mark.pdf5BUTLER Mark
GRAY Gary,9-Jan-11,9-Jan-11,Canberra,Minister/Office Holder -  Official Business,1,233.00,,233.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/GRAY_Gary.pdf5GRAY Gary
PERRETT Graham,9-Jan-11,10-Jan-11,Sydney,Chair of Parliamentary  Committee on Committee  Business,2,360.00,,720.00,22http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/PERRETT_Graham.pdf5PERRETT Graham
SCULLION Nigel,9-Jan-11,9-Jan-11,Cairns,Shadow Minister -  Official Business,1,258.00,,258.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCULLION_Nigel.pdf5SCULLION Nigel
SIDEBOTTOM Sid,9-Jan-11,10-Jan-11,King Island,Electorate Business,2,227.00,,454.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SIDEBOTTOM_Sid.pdf5SIDEBOTTOM Sid
XENOPHON Nick,9-Jan-11,9-Jan-11,Cairns,Electorate Business,1,258.00,,258.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/XENOPHON_Nick.pdf5XENOPHON Nick
BISHOP Bronwyn,10-Jan-11,12-Jan-11,Canberra,Shadow Minister -  Official Business,3,233.00,,699.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BISHOP_Bronwyn.pdf5BISHOP Bronwyn
BISHOP Julie,10-Jan-11,12-Jan-11,Brisbane,Office Holder - Official  Business,3,391.00,,"1,173.00",21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BISHOP_Julie.pdf5BISHOP Julie
CREAN Simon,10-Jan-11,10-Jan-11,Bundaberg,Minister/Office Holder -  Official Business,1,345.00,,345.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CREAN_Simon.pdf5CREAN Simon
FARRELL Don,10-Jan-11,11-Jan-11,Canberra,Electorate Business,2,233.00,,466.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FARRELL_Don.pdf5FARRELL Don
LEY Sussan,10-Jan-11,10-Jan-11,Sydney,Shadow Minister -  Official Business,1,360.00,,360.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LEY_Sussan.pdf5LEY Sussan
SCULLION Nigel,10-Jan-11,11-Jan-11,Weipa,Shadow Minister -  Official Business,2,273.00,,546.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCULLION_Nigel.pdf5SCULLION Nigel
FARRELL Don,11-Jan-11,11-Jan-11,Canberra,Electorate Business,1,233.00,,233.00,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T29/FARRELL_Don.pdf26FARRELL Don
FERGUSON Martin,11-Jan-11,12-Jan-11,Canberra,Minister/Office Holder -  Official Business,2,233.00,,466.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FERGUSON_Martin.pdf5FERGUSON Martin
GILLARD Julia,11-Jan-11,13-Jan-11,Brisbane,Prime Minister,3,526.00,,"1,578.00",34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/GILLARD_Julia.pdf5GILLARD Julia
KELLY Mike,11-Jan-11,11-Jan-11,Dubbo,Parliamentary Secretary -  Official Business,1,345.00,,345.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KELLY_Mike.pdf5KELLY Mike
KATTER Bob,12-Jan-11,12-Jan-11,Innisfail,Electorate Business,1,245.00,,245.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KATTER_Bob.pdf5KATTER Bob
SCULLION Nigel,12-Jan-11,13-Jan-11,Cairns,Shadow Minister -  Official Business,2,258.00,,516.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCULLION_Nigel.pdf5SCULLION Nigel
ALBANESE Anthony,13-Jan-11,14-Jan-11,Perth,Minister/Office Holder -  Official Business,2,430.00,,860.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ALBANESE_Anthony.pdf5ALBANESE Anthony
BUTLER Mark,13-Jan-11,13-Jan-11,Sydney,Minister/Office Holder -  Official Business,1,420.00,,420.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUTLER_Mark.pdf5BUTLER Mark
CREAN Simon,13-Jan-11,15-Jan-11,Gold Coast,Minister/Office Holder -  Official Business,3,345.00,30.00,"1,065.00",30http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CREAN_Simon.pdf5CREAN Simon
FITZGIBBON Joel,13-Jan-11,13-Jan-11,Gold Coast,Electorate Business,1,270.00,,270.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FITZGIBBON_Joel.pdf5FITZGIBBON Joel
LEY Sussan,13-Jan-11,13-Jan-11,Sydney,Shadow Minister -  Official Business,1,360.00,,360.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LEY_Sussan.pdf5LEY Sussan
FARRELL Don,14-Jan-11,15-Jan-11,Melbourne,Electorate Business,2,420.00,,840.00,41http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FARRELL_Don.pdf5FARRELL Don
GILLARD Julia,14-Jan-11,14-Jan-11,Townsville,Prime Minister,1,526.00,,526.00,41http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/GILLARD_Julia.pdf5GILLARD Julia
MCLUCAS Jan,14-Jan-11,14-Jan-11,Townsville,Electorate Business,1,259.00,,259.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCLUCAS_Jan.pdf5MCLUCAS Jan
BISHOP Julie,15-Jan-11,17-Jan-11,Canberra,Office Holder - Official  Business,3,233.00,,699.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BISHOP_Julie.pdf5BISHOP Julie
BALDWIN Bob,16-Jan-11,16-Jan-11,Perth,Shadow Minister -  Official Business,1,346.00,,346.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BALDWIN_Bob.pdf5BALDWIN Bob
BISHOP Bronwyn,16-Jan-11,18-Jan-11,Canberra,Shadow Minister -  Official Business,3,233.00,,699.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BISHOP_Bronwyn.pdf5BISHOP Bronwyn
CREAN Simon,16-Jan-11,16-Jan-11,Grafton,Minister/Office Holder -  Official Business,1,345.00,10.00,355.00,39http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CREAN_Simon.pdf5CREAN Simon
FERGUSON Martin,16-Jan-11,16-Jan-11,Canberra,Minister/Office Holder -  Official Business,1,233.00,,233.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FERGUSON_Martin.pdf5FERGUSON Martin
HARTSUYKER Luke,16-Jan-11,17-Jan-11,Melbourne,Shadow Minister -  Official Business,2,332.00,,664.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HARTSUYKER_Luke.pdf5HARTSUYKER Luke
LEY Sussan,16-Jan-11,16-Jan-11,Adelaide,Regional Australia  (Reps/Stand),1,320.00,,320.00,45http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LEY_Sussan.pdf5LEY Sussan
MITCHELL Robert,16-Jan-11,16-Jan-11,Adelaide,Regional Australia  (Reps/Stand),1,320.00,,320.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MITCHELL_Robert.pdf5MITCHELL Robert
SAFFIN Janelle,16-Jan-11,16-Jan-11,Grafton,Electorate Business,1,227.00,,227.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SAFFIN_Janelle.pdf5SAFFIN Janelle
SIDEBOTTOM Sid,16-Jan-11,16-Jan-11,Adelaide,Regional Australia  (Reps/Stand),1,320.00,,320.00,28http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SIDEBOTTOM_Sid.pdf5SIDEBOTTOM Sid
STONE Sharman,16-Jan-11,16-Jan-11,Adelaide,Regional Australia  (Reps/Stand),1,320.00,,320.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/STONE_Sharman.pdf5STONE Sharman
WONG Penny,16-Jan-11,17-Jan-11,Sydney,Minister/Office Holder -  Official Business,2,420.00,,840.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WONG_Penny.pdf5WONG Penny
ARBIB Mark,17-Jan-11,17-Jan-11,Melbourne,Minister/Office Holder -  Official Business,1,420.00,,420.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ARBIB_Mark.pdf5ARBIB Mark
BALDWIN Bob,17-Jan-11,17-Jan-11,Bunbury,Shadow Minister -  Official Business,1,257.00,,257.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BALDWIN_Bob.pdf5BALDWIN Bob
BUTLER Mark,17-Jan-11,17-Jan-11,Canberra,Minister/Office Holder -  Official Business,1,233.00,,233.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUTLER_Mark.pdf5BUTLER Mark
CREAN Simon,17-Jan-11,17-Jan-11,Maryborough,Minister/Office Holder -  Official Business,1,345.00,10.00,355.00,48http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CREAN_Simon.pdf5CREAN Simon
FITZGIBBON Joel,17-Jan-11,19-Jan-11,Canberra,Chief Whip - Official  Business,3,233.00,,699.00,28http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FITZGIBBON_Joel.pdf5FITZGIBBON Joel
HOCKEY Joe,17-Jan-11,17-Jan-11,Melbourne,Shadow Minister -  Official Business,1,76.00,,76.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/HOCKEY_Joe.pdf5HOCKEY Joe
LEY Sussan,17-Jan-11,17-Jan-11,Murray Bridge,Regional Australia  (Reps/Stand),1,227.00,,227.00,53http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LEY_Sussan.pdf5LEY Sussan
MCCORMACK Michael,17-Jan-11,17-Jan-11,Murray Bridge,Regional Australia  (Reps/Stand),1,227.00,,227.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCCORMACK_Michael.pdf5MCCORMACK Michael
MITCHELL Robert,17-Jan-11,17-Jan-11,Murray Bridge,Regional Australia  (Reps/Stand),1,227.00,,227.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MITCHELL_Robert.pdf5MITCHELL Robert
SCULLION Nigel,17-Jan-11,17-Jan-11,Tennant Creek,Electorate Business,1,227.00,,227.00,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T29/SCULLION_Nigel.pdf22SCULLION Nigel
SIDEBOTTOM Sid,17-Jan-11,17-Jan-11,Murray Bridge,Regional Australia  (Reps/Stand),1,227.00,,227.00,36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SIDEBOTTOM_Sid.pdf5SIDEBOTTOM Sid
SMITH Stephen,17-Jan-11,18-Jan-11,Sydney,Minister/Office Holder -  Official Business,2,420.00,,840.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SMITH_Stephen.pdf5SMITH Stephen
BALDWIN Bob,18-Jan-11,20-Jan-11,Perth,Shadow Minister -  Official Business,3,346.00,,"1,038.00",37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BALDWIN_Bob.pdf5BALDWIN Bob
COLBECK Richard,18-Jan-11,18-Jan-11,Hobart,Electorate Business,1,285.00,,285.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/COLBECK_Richard.pdf5COLBECK Richard
CREAN Simon,18-Jan-11,19-Jan-11,Cairns,Minister/Office Holder -  Official Business,2,345.00,20.00,710.00,57http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CREAN_Simon.pdf5CREAN Simon
DREYFUS Mark,18-Jan-11,19-Jan-11,Canberra,Parliamentary Secretary -  Official Business,2,233.00,,466.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/DREYFUS_Mark.pdf5DREYFUS Mark
EMERSON Craig,18-Jan-11,19-Jan-11,Canberra,Minister/Office Holder -  Official Business,2,233.00,,466.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/EMERSON_Craig.pdf5EMERSON Craig
FEENEY David,18-Jan-11,19-Jan-11,Canberra,Parliamentary Secretary -  Official Business,2,233.00,,466.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FEENEY_David.pdf5FEENEY David
KATTER Bob,18-Jan-11,18-Jan-11,Innisfail,Electorate Business,1,245.00,,245.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KATTER_Bob.pdf5KATTER Bob
KING Catherine,18-Jan-11,18-Jan-11,Melbourne,Parliamentary Secretary -  Official Business,1,420.00,,420.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KING_Catherine.pdf5KING Catherine
LEY Sussan,18-Jan-11,18-Jan-11,Mildura,Regional Australia  (Reps/Stand),1,245.00,,245.00,61http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LEY_Sussan.pdf5LEY Sussan
MCCORMACK Michael,18-Jan-11,18-Jan-11,Mildura,Regional Australia  (Reps/Stand),1,245.00,,245.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCCORMACK_Michael.pdf5MCCORMACK Michael
MITCHELL Robert,18-Jan-11,18-Jan-11,Mildura,Regional Australia  (Reps/Stand),1,245.00,,245.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MITCHELL_Robert.pdf5MITCHELL Robert
SCOTT Bruce,18-Jan-11,19-Jan-11,Dalby,Electorate Business,2,245.00,,490.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCOTT_Bruce.pdf5SCOTT Bruce
SECKER Patrick,18-Jan-11,18-Jan-11,Mildura,Regional Australia  (Reps/Stand),1,245.00,,245.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SECKER_Patrick.pdf5SECKER Patrick
SIDEBOTTOM Sid,18-Jan-11,18-Jan-11,Mildura,Regional Australia  (Reps/Stand),1,245.00,,245.00,44http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SIDEBOTTOM_Sid.pdf5SIDEBOTTOM Sid
BISHOP Julie,19-Jan-11,19-Jan-11,Sydney,Office Holder - Official  Business,1,420.00,,420.00,37http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BISHOP_Julie.pdf5BISHOP Julie
CLARE Jason,19-Jan-11,19-Jan-11,Bendigo,Minister/Office Holder -  Official Business,1,345.00,,345.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CLARE_Jason.pdf5CLARE Jason
FIFIELD Mitch,19-Jan-11,19-Jan-11,Sydney,Shadow Minister -  Official Business,1,360.00,,360.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FIFIELD_Mitch.pdf5FIFIELD Mitch
KATTER Bob,19-Jan-11,19-Jan-11,Cairns,Electorate Business,1,258.00,,258.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KATTER_Bob.pdf5KATTER Bob
LAMING Andrew,19-Jan-11,23-Jan-11,Perth,Shadow Minister -  Official Business,5,346.00,,"1,730.00",21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LAMING_Andrew.pdf5LAMING Andrew
LEY Sussan,19-Jan-11,20-Jan-11,Bendigo,Regional Australia  (Reps/Stand),2,257.00,,514.00,69http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LEY_Sussan.pdf5LEY Sussan
MCCORMACK Michael,19-Jan-11,19-Jan-11,Bendigo,Regional Australia  (Reps/Stand),1,257.00,,257.00,45http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCCORMACK_Michael.pdf5MCCORMACK Michael
MITCHELL Robert,19-Jan-11,20-Jan-11,Bendigo,Regional Australia  (Reps/Stand),2,257.00,,514.00,45http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MITCHELL_Robert.pdf5MITCHELL Robert
RUDD Kevin,19-Jan-11,19-Jan-11,Sydney,Minister/Office Holder -  Official Business,1,420.00,,420.00,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/RUDD_Kevin.pdf5RUDD Kevin
SECKER Patrick,19-Jan-11,19-Jan-11,Bendigo,Regional Australia  (Reps/Stand),1,257.00,,257.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SECKER_Patrick.pdf5SECKER Patrick
SMITH Stephen,19-Jan-11,19-Jan-11,Adelaide,Minister/Office Holder -  Official Business,1,364.00,,364.00,29http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SMITH_Stephen.pdf5SMITH Stephen
