location-to,date,partygroup,count
Perth,07/03/2014,Coalition,7
Sydney,07/03/2014,Coalition,10
Sydney,07/03/2014,Labor,10
Townsville,07/03/2014,Coalition,2
Sydney,08/03/2014,Coalition,4
Cairns,09/03/2014,Labor,2
Perth,09/03/2014,Labor,2
Townsville,09/03/2014,Coalition,2
Darwin,10/03/2014,Labor,3
Geraldton,10/03/2014,Coalition,2
Melbourne,10/03/2014,Coalition,3
Perth,10/03/2014,Labor,2
Perth,10/03/2014,Coalition,3
Sydney,10/03/2014,Labor,2
Sydney,10/03/2014,Coalition,3
Adelaide,11/03/2014,Coalition,2
Brisbane,11/03/2014,Coalition,7
Melbourne,11/03/2014,Coalition,3
Melbourne,11/03/2014,Labor,4
Perth,11/03/2014,Labor,2
Sydney,11/03/2014,Labor,3
Sydney,11/03/2014,Coalition,6
Adelaide,12/03/2014,Labor,3
Adelaide,12/03/2014,Coalition,5
Brisbane,12/03/2014,Labor,2
Brisbane,12/03/2014,Coalition,8
Devonport,12/03/2014,Labor,2
Melbourne,12/03/2014,Greens,2
Melbourne,12/03/2014,Coalition,6
Melbourne,12/03/2014,Labor,6
Palm Island,12/03/2014,Coalition,2
Perth,12/03/2014,Coalition,3
Sydney,12/03/2014,Labor,6
Sydney,12/03/2014,Coalition,12
Townsville,12/03/2014,Coalition,5
Adelaide,13/03/2014,Coalition,2
Brisbane,13/03/2014,Coalition,3
Hobart,13/03/2014,Coalition,2
Mackay,13/03/2014,Coalition,3
Melbourne,13/03/2014,Labor,8
Melbourne,13/03/2014,Coalition,12
Perth,13/03/2014,Coalition,2
Perth,13/03/2014,Labor,2
Sydney,13/03/2014,Labor,6
Sydney,13/03/2014,Coalition,12
Adelaide,14/03/2014,Coalition,2
Adelaide,14/03/2014,Labor,3
Brisbane,14/03/2014,Coalition,3
Karratha,14/03/2014,Coalition,2
Melbourne,14/03/2014,Labor,3
Melbourne,14/03/2014,Coalition,4
Perth,14/03/2014,Labor,2
Perth,14/03/2014,Coalition,5
